"income","health","age","transport","1","2","3","y_star_Car","y_star_Taxi","y_star_Public"
11786.492567366,2,49,"Public",0.996759885164909,1.23672563480916,2.6164741870202,2.48142219934906,2.74852302331965,5.40074433567288
12674.358331296,5,33,"Public",-0.0405996397009993,0.960455136422309,-0.361104791042802,2.2062593185814,2.84557051139175,4.22540804233128
5615.26543101353,4,45,"Taxi",0.316014743841802,2.32264169332627,-0.10907297360784,2.20639637961714,4.08187067479147,3.87862171777189
104312.5642505,3,53,"Car",0.332996909107209,-1.27066307707509,0.825427541433704,4.47081101536972,1.88902538668241,2.1791762564237
13753.636718144,3,58,"Public",-1.25660151820945,-3.91746294639181,1.44272731421002,0.667239399744149,-2.04115839561965,4.50765457984714
17083.7909691256,3,36,"Car",0.646483038157129,0.401082226413016,-1.89684386874882,2.43357781238527,1.9973390909499,1.54148031186867
27750.3856432663,0,75,"Taxi",0.187762477917343,3.78461788591914,0.207453629995731,1.731522118999,5.52587367056813,1.15244591713041
33319.7069075908,1,98,"Car",0.78432042370837,0.470694675372987,0.107357570116871,2.99731309639814,2.84049027898685,0.980963431965056
17038.5848979122,2,55,"Public",-0.616124343104216,0.746433084743596,5.35025375698155,1.05984027934359,2.42701185821228,7.9094820590233
22417.3400140706,1,58,"Public",0.208053729765334,-0.652185224232184,3.9657813599888,1.7484872301171,0.954074875978875,5.85743455970739
37744.931435972,2,97,"Taxi",0.681370026522255,3.84418419248099,2.09456615724238,3.29499331242155,6.46535816402056,3.39966752852294
22604.9883276324,5,27,"Public",-1.28989784659801,-2.57702150446169,-2.70203122057265,1.1452268615928,-0.632946679547204,1.8058690128747
35624.3155322256,5,50,"Public",-0.831447543538802,1.1365396469499,0.000245261752496229,2.15916034476684,3.62090437993328,3.78775895110798
15432.3318750264,4,64,"Car",1.6665101077269,-0.729519968051313,-3.16578970159243,3.99231840460256,1.46196501007408,0.245563660907041
20219.6826732945,3,43,"Car",1.91861500383715,0.765060354642271,-2.71176287174834,3.85410707066951,2.51335559474169,0.523843474785771
22959.9881497936,1,36,"Taxi",1.10633696788183,1.45953551870842,-2.159400075877,2.44033667162667,2.74393534095532,0.161400161127132
28638.1904835324,1,43,"Public",0.635378660288125,-0.882835366524974,1.07185782914709,2.18133342237644,0.591737490728013,3.13909401947644
21289.944364335,1,53,"Public",-1.57834400140928,-0.949199600199257,1.15408650923539,-0.116095392300909,0.565149565265767,3.16828762194869
14837.8410402346,1,27,"Taxi",0.840672246717467,2.65228772112002,0.329272387149454,1.88161827272333,3.67985533672354,2.99251556634476
17514.3244906484,5,47,"Public",-0.27695674217595,1.96391476725079,0.0498813191849092,2.23090137009026,4.13162963461052,4.25959482937194
9516.44747065774,1,61,"Public",0.701738506814792,0.428184010359851,0.095001559371832,1.94964969358124,1.88593072241972,2.18467260995868
